 Sample #,Start Time,Thread Name,Label,Sample Time (ms),Status,Bytes,Sent Bytes,Latency,Connect Time (ms)
1,51:45.9,Thread Group 1-2,HTTP Request,1156,Success,19902,116,1086,690
2,51:46.5,Thread Group 1-3,HTTP Request,555,Success,19902,116,485,92
3,51:45.5,Thread Group 1-1,HTTP Request,1498,Success,19902,116,1428,1032
4,51:47.1,Thread Group 1-4,HTTP Request,212,Success,19906,116,169,117
5,51:47.1,Thread Group 1-3,HTTP Request,202,Success,19902,116,163,109
6,51:47.1,Thread Group 1-1,HTTP Request,203,Success,19906,116,171,114
7,51:47.1,Thread Group 1-2,HTTP Request,414,Success,19902,116,378,116
8,51:47.3,Thread Group 1-4,HTTP Request,422,Success,19902,116,388,131
9,51:47.3,Thread Group 1-1,HTTP Request,425,Success,19902,116,398,123
10,51:47.3,Thread Group 1-3,HTTP Request,439,Success,19902,116,409,129
11,51:47.5,Thread Group 1-2,HTTP Request,368,Success,19902,116,353,97
12,51:47.7,Thread Group 1-5,HTTP Request,346,Success,19902,116,334,83
13,51:47.9,Thread Group 1-2,HTTP Request,158,Success,19902,116,148,97
14,51:47.7,Thread Group 1-4,HTTP Request,342,Success,19902,116,330,79
15,51:47.7,Thread Group 1-1,HTTP Request,356,Success,19902,116,335,79
16,51:47.7,Thread Group 1-3,HTTP Request,646,Success,19902,116,642,102
17,51:48.0,Thread Group 1-5,HTTP Request,440,Success,19906,116,424,362
18,51:48.0,Thread Group 1-2,HTTP Request,435,Success,19902,116,413,360
19,51:48.1,Thread Group 1-4,HTTP Request,438,Success,19902,116,433,388
20,51:48.3,Thread Group 1-6,HTTP Request,232,Success,19902,116,224,185
21,51:48.5,Thread Group 1-5,HTTP Request,184,Success,19902,116,143,90
22,51:48.1,Thread Group 1-1,HTTP Request,666,Success,19902,116,636,374
23,51:48.4,Thread Group 1-3,HTTP Request,378,Success,19902,116,370,90
24,51:48.5,Thread Group 1-6,HTTP Request,363,Success,19902,116,345,81
25,51:48.5,Thread Group 1-4,HTTP Request,373,Success,19902,116,370,88
26,51:48.9,Thread Group 1-7,HTTP Request,199,Success,19902,116,151,102
27,51:48.6,Thread Group 1-5,HTTP Request,427,Success,19902,116,416,110
28,51:48.9,Thread Group 1-6,HTTP Request,210,Success,19906,116,203,111
29,51:49.1,Thread Group 1-6,HTTP Request,129,Success,19902,116,121,78
30,51:49.1,Thread Group 1-7,HTTP Request,210,Success,19902,116,194,116
31,51:49.1,Thread Group 1-5,HTTP Request,209,Success,19902,116,176,113
32,51:49.3,Thread Group 1-7,HTTP Request,169,Success,19902,116,133,91
33,51:49.2,Thread Group 1-6,HTTP Request,379,Success,19902,116,371,114
34,51:49.4,Thread Group 1-7,HTTP Request,419,Success,19902,116,402,141
35,51:49.5,Thread Group 1-8,HTTP Request,440,Success,19934,116,436,126
36,51:49.9,Thread Group 1-8,HTTP Request,230,Success,19902,116,180,121
37,51:50.1,Thread Group 1-9,HTTP Request,233,Success,19902,116,171,97
38,51:49.9,Thread Group 1-7,HTTP Request,475,Success,19906,116,418,100
39,51:50.3,Thread Group 1-9,HTTP Request,195,Success,19906,116,155,108
40,51:50.1,Thread Group 1-8,HTTP Request,524,Success,19902,116,439,105
41,51:50.5,Thread Group 1-9,HTTP Request,284,Success,19906,116,272,223
42,51:50.7,Thread Group 1-8,HTTP Request,189,Success,19906,116,160,94
43,51:50.7,Thread Group 1-10,HTTP Request,200,Success,19902,116,161,93
44,51:50.8,Thread Group 1-9,HTTP Request,189,Success,19902,116,178,127
45,51:51.0,Thread Group 1-9,HTTP Request,182,Success,19902,116,144,92
46,51:50.8,Thread Group 1-8,HTTP Request,364,Success,19906,116,356,96
47,51:50.9,Thread Group 1-10,HTTP Request,376,Success,19906,116,365,108
48,51:51.2,Thread Group 1-10,HTTP Request,196,Success,19906,116,161,112
49,51:51.3,Thread Group 1-11,HTTP Request,184,Success,19902,116,148,97
50,51:51.4,Thread Group 1-11,HTTP Request,145,Success,19902,116,137,92
51,51:51.4,Thread Group 1-10,HTTP Request,370,Success,19902,116,367,89
52,51:51.6,Thread Group 1-11,HTTP Request,383,Success,19902,116,364,95
53,51:51.8,Thread Group 1-10,HTTP Request,175,Success,19902,116,137,96
54,51:51.9,Thread Group 1-12,HTTP Request,154,Success,19906,116,124,83
